list,,headword,nonprimary sense,number,lemma,pronunciation,nonstandard_variant,variants,word_class,class_added_manually,type,spoken_words,language_origin,domain,definition,info,example_sentence,etymology,derivative_forms,multi-word_forms,proverb,idiom,definition_type_1,definition_type_2
abrag,,-ku,,,,,,,affix,yes,,,,,(dari aku) pemilik,,rumahku; sepedaku,,,,,,Other,
abrahmacariya veramani sikhapadam samadiyami,,-ku,,,,,,,affix,yes,,,,,(dari aku) tujuan,,memukulku; menghampiriku,,,,,,Other,
abubu,,a.k.b.,yes,2,,,,,noun,,abbreviation,,,,angka kematian bayi,,,,,,,,Abbreviation Expansion,
Abuja,,abanat,,,,,,,verb,,,,Gane,,menghalangi orang yang lewat dengan cara berdiri sambil merentangkan tangan,,,,,,,,Analitical,
abukajung,,abrag,,,,,,,noun,,,,Jawa,,perkakas dalam rumah tangga,,sepasang pengantin baru itu belum memiliki --,,,,,,Analitical,
AC,,abrahmacariya veramani sikhapadam samadiyami,,,,,,,adjective,yes,figurative,,Sanskerta,,bertekad untuk melatih diri menghindari perbuatan asusila dalam agama Buddha,,,,,,,,Analitical,
acakadul,,abrosia,,,,,,,noun,,,,,,kekurangan makan,,,,,,,,Synonym,
adan,,abubu,,,,,,,noun,,,,Modole,,kayu yang sudah lapuk,,,,,,,,Analitical,
"adat bak poteumeureuhom, hukom bak syiah kuala, qanun bank putro phang, reusam bak laksamana",,abuja,,,,,,,noun,,,,,,ibu kota negara Nigeria,,,,,,,,Analitical,
adijana,,abukajung,,,,,,,noun,,,,Bugis,,perlakuan sewenang-wenang terhadap seseorang sebagai pelampiasan,,,,,,,,Analitical,
afkiran,,ac,yes,2,,,,,noun,,,,,,sebelum Masehi; SM; ante Christum,,,,,,,,Abbreviation Expansion,Synonym
ahkana,,acakadul,,,,,,,adjective,,,yes,,,sembarangan; tidak tertata; berantakan; acakadut,,,,,,,,Synonym,
ahli ginekologi,,adan,,,,,,,noun,,,,Kei,,buah kelapa kering yang kulit luarnya berwarna cokelat,,,,,,,,Analitical,
aitolida,,"adat bak poteumeureuhom, hukom bak syiah kuala, qanun bank putro phang, reusam bak laksamana",,,,,,,phrase,yes,figurative,,Aceh,,hukum adat berada di tangan pemerintah dan hukum syariat ada di tangan ulama,,,,,,,,Analitical,
aitolida,aitolida,adijana,,,,,,,noun,,,,,,manusia super; adimanusia,,,,,,,,Synonym,
akalasia,,adiyuga,,,,,,,noun,,,,,Agama Hindu,zaman pertama dari empat zaman dunia: kertayuga; satyayuga,,kertayuga; satyayuga,,,,,,Analitical,Synonym
akamsi,,afkiran,,,afkir,,,,noun,,,,,,barang yang sudah tidak dapat dipakai,,sebagian kayu ~ masih dapat dimanfaatkan,,,,,,Analitical,
akik garnet,,aga,yes,3,,,,,verb,,,,Wolio,,memandang dengan maksud mentertawai atau menantang,,"sebelum bertengkar, kakak -- adik",,,,,,Analitical,
akses terbatas,,ahkana,,,,,,,verb,,,,Papua,,membagi hasil panen untuk membantu orang yang tidak berkebun karena lumpuh,,,,,,,,Analitical,
akuisisi arsip,,ahli ginekologi,,,ahli (2),,,,noun,yes,,,,,ginekolog,,,,,,,,Synonym,
alam dunia,,ahosi kamma,,,,,,,noun,yes,figurative,,Sanskerta,,karma yang tidak sempat berbuah karena telah kehabisan waktu atau kehilangan kesempatan untuk berbuah (tentang ganjaran yang tidak pernah diterima dalam agama Buddha),,,,,,,,Analitical,
alam rendah,,ahuite,,,,,,,noun,,,,Yalahatan,,ruas bambu yang digunakan sebagai wadah untuk memasak,,,,,,,,Analitical,
alimbuane,,air limbah perkotaan,,,air,,,,noun,yes,,,,,"air limbah yang berasal dari kawasan perkotaan, seperti perumahan, perkantoran, pertokoan, industri",,,,,,,,Analitical,
aloi,,aitolida,,,,,,,noun,,,,Ciacia,,sebutan bagi adik sepupu,,,,,,,,Analitical,
ambat,,akalasia,,,,,,,noun,,,,,,"kesulitan menelan karena gangguan pada otot kerongkongan, shg makanan sulit didorong ke dalam lambung",,,,,,,,Analitical,Encyclopedic
ambeg pratama,,akamsi,,,,,,,noun,,acronym,yes,,,anak kampung sini; sebutan untuk orang yang berasal dari sebuah kampung atau sesuai dengan daerah asal orang tersebut,,,,,,,,Analitical,Synonym
amber,,akar ipoh putih,,,akar,,,,noun,yes,,,,,"liana yang batangnya bergetah putih, rantingnya memiliki kait-kait yang keras, daun berbentuk bulat telur meruncing dengan tepi sedikit bergigi, bunga berwarna putih dan cokelat kemerahan, buah berwarna kuning dan merah, getah dari batangnya sangat beracun dan digunakan masyarakat dalam peperangan tradisional antarsuku sebagai campuran racun pada panah",〔Hugonia griffithiana〕,,,,,,,Analitical,
analisis bahaya,,aki,,,,,,,noun,,abbreviation,,,,angka kematian ibu,,,,,,,,Abbreviation Expansion,
Andes,,akik garnet,,,akik,,,,noun,yes,,,,,"batuan alam yang bentuknya indah, beraneka warna, biasa digunakan untuk batuan permata",,,,,,,,Analitical,
andong,,akra,,,,,,,noun,,,,,,ibu kota negara Ghana,,,,,,,,Analitical,
andu,,akses arsip,,,akses,,,,noun,yes,,,,Ilmu Perpustakaan dan Dokumentasi,ketersediaan arsip sebagai hasil dari kewenangan hukum dan otorisasi legal serta keberadaan sarana bantu untuk mempermudah penemuan dan pemanfaatan arsip,,,,,,,,Analitical,
anestesian,,akses terbatas,,,akses,,,,noun,yes,,,,,"akses yang tidak ada atau sedikit karena adanya penghalang, jalan samping, dan sebagainya",,,,,,,,Analitical,
aneurisme otak,,akuisisi arsip,,,akuisisi,,,,noun,yes,,,,Ilmu Perpustakaan dan Dokumentasi,"penambahan khazanah arsip statis pada lembaga kearsipan yang dilaksanakan melalui kegiatan penyerahan arsip statis dan hak pengelolaannya dari pencipta
arsip kepada lembaga kearsipan",,,,,,,,Analitical,
anggai,,alam dunia,,,alam (1),,,,noun,yes,,,,,alam fana,,,,,,,,Synonym,
anggir,,alam rendah,,,alam (1),,,,noun,yes,,,,Agama Buddha,apaya (tentang ajaran agama Buddha mengenai kehidupan yang sengsara),,,,,,,,Synonym,Analitical
anggur laut,,alimbuane,,,,/alimbuanê/,,,noun,,,,Nias,,mabuk karena makan sirih yang terlalu banyak pinangnya,,aku melihatnya muntah karena --,,,,,,Analitical,
angkruk,,aloi,yes,2,,,,,noun,,,,Passer,,orang yang tidak pernah menikah atau tidak mau menikah,,,,,,,,Analitical,
anjali,,ambat,yes,2,,,,,noun,,,,Melayu Jambi,,"perangkap ikan di sungai yang terbuat dari bambu yang dijalin rapat dengan rotan, ditancapkan di dasar sungai, tingginya harus melebihi permukaan air sungai",,,,,,,,Analitical,
antares,,ambeg pratama,,,,,,,noun,yes,figurative,,Jawa,,"dapat memilih hal yang harus didahulukan, salah satu asas kepemimpinan dalam TNI",,,,,,,,Analitical,
Anus,,amber,yes,3,,,,,noun,yes,,,,,→ batu,,,,,,,,Cross-reference,
anuttaram puññakkhetam lokassāti,,ambil marah,,,ambil,,,,noun,yes,,yes,,,marah,,,,,,,,Synonym,
apan-apan,,amfetamin,,,,,,,noun,yes,,,,,→ amfetamina,,,,,,,,Cross-reference,
aparapara vedaniya kamma,,amnesia retrograd,,,amnesia,,,,noun,yes,,,,Psikologi,ketakmampuan mengingat kejadian yang terjadi sebelum cedera otak atau kejadian traumatis,,,,,,,,Analitical,
apatate,,amonium nitrat,,,amonium,,,,noun,yes,,,,Kimia,"senyawa kimia yang berupa padatan kristal putih, sangat larut dalam air, digunakan dalam pertanian sebagai pupuk",〈NH4NO3〉,,,,,,,Analitical,
apayamuka,,anak potong,,,anak,,,,noun,yes,idiomatic expression,,,,anak-anak yang berutang pada dan dilacurkan oleh muncikari serta diputuskan hubungan dengan orang tuanya,,,,,,,,Analitical,
apdenak,,analisis bahaya,,,analisis,,,,noun,yes,,,,,"analisis untuk mengidentifikasi bahan yang berpotensi bahaya pada proses penyimpanan, pengemasan, proses kritis, dan faktor manusia yang dapat memengaruhi keamanan atau kualitas produk",,,,,,,,Analitical,
apelium,,andes,,,,,,,noun,,,,,,pegunungan Amerika Selatan yang membentang di sepanjang pantai barat dari Panama ke Tierra del Fuego,,,,,,,,Analitical,
arama,,andong,yes,3,,,,,noun,,,,Jawa,,"pohon yang tingginya mencapai 37 m, daun elips bertulang tiga, bunga berwarna putih, merah muda, hingga kuning, buah berwarna merah muda dan dapat dimakan, daun digunakan sebagai obat, kayu digunakan untuk bahan bangunan, kulit kayu digunakan sebagai pewarna; tempoyan",〔Rhodamnia cinerea〕,,,,,,,Analitical,Synonym
ardang,,andu,,,,,,,verb,,,,Muna,,mengurut perut untuk memperbaiki letak janin,,paraji -- ibu saat hamil 9 bulan,,,,,,Analitical,
area hijau,,anestesian,,,,,,,noun,,,,,Kedokteran dan Fisiologi,bahan untuk memproduksi anestetik,,,,,,,,Analitical,
arena remaja,,aneurisme otak,,,aneurisme,,,,noun,yes,,,,Anatomi,kondisi menggelembungnya pembuluh darah di otak seperti balon akibat melemahnya dinding pembuluh darah di suatu titik tertentu; aneurisme selebral,,,,,,,,Analitical,Synonym
arirang,,anggai,yes,2,,,,,adjective,,,,Muna,,"retak kecil (tentang piring, dan sebagainya)",,,,,,,,Synonym,Analitical
arnis,,anggir,,,,,,,noun,,,,Batak,,jeruk purut,,,,,,,,Synonym,
